(10, 17, 3, 24, 12, 10)
(17, 4, 11, 12, 16, 19)
(32, 33, 25, 25, 28, 35)
(27, 29, 24, 25, 23, 37)
(29, 40, 34, 26, 31, 39)
(23, 37, 29, 36, 31, 38)
(33, 32, 35, 37, 38, 28)
(9, 9, 17, 10, 9, 17)
(27, 25, 23, 29, 34, 36)
(24, 36, 28, 38, 35, 26)
(23, 37, 20, 31, 26, 33)
(6, 5, 2, 18, 15, 7)
(6, 8, 8, 15, 5, 3)
(1, 16, 33, 4, 2, 27)
(23, 36, 18, 18, 26, 34)
(14, 20, 2, 16, 39, 3)
(2, 20, 1, 2, 7, 15)
(1, 5, 19, 19, 9, 3)
(2, 18, 1, 14, 19, 4)
(23, 25, 28, 22, 18, 24)
(7, 13, 11, 13, 6, 18)
(14, 10, 1, 14, 15, 15)
(35, 21, 22, 28, 22, 39)
(30, 30, 37, 30, 27, 30)
(39, 38, 29, 21, 21, 31)
(39, 31, 32, 28, 35, 34)
(25, 20, 30, 33, 40, 22)
(37, 29, 22, 30, 36, 40)
(16, 10, 15, 7, 13, 5)
(8, 19, 10, 13, 17, 6)
(21, 39, 26, 32, 32, 24)
(40, 27, 31, 32, 27, 40)
(13, 14, 20, 4, 12, 11)
(19, 9, 8, 12, 7, 3)
(13, 11, 3, 12, 17, 1)
(38, 26, 33, 21, 40, 34)
(5, 6, 8, 5, 16, 11)
(34, 36, 21, 38, 35, 22)
(4, 7, 12, 14, 24, 4)
(8, 6, 16, 11, 9, 20)
